FID,newID,X0_30cm,SOC10m30,SOC100m30,SOC250m30,SOC250mv2
21,22,2.130300000000000,1.969940919629467,1.700903927561008,1.582728073044697,0.413536288
23,24,2.130300000000000,1.797651938520182,2.803289278647067,3.717435509332620,1.401895303054173
20,21,2.130300000000000,1.889280461215167,2.629908092558946,3.108734008582098,1.809026833542567
0,1,1.847600000000000,2.156247757175102,1.562256355537920,1.478400255993200,1.996821405346248
33,34,2.130300000000000,2.366503911889702,1.470535055041207,1.790727369184734,2.031497495026247
47,48,2.130300000000000,2.129570783747353,1.475517530669582,1.724157810964158,2.045693599855456
8,9,0.404474,2.368183928152732,1.356637378572898,1.428536310974622,2.050521034088204
41,42,2.130300000000000,2.777154393572233,1.428471215253448,1.541438047235669,2.062496857967709
37,38,1.847600000000000,2.384207326108007,1.316304701448066,1.457762485677160,2.098101325287232
22,23,2.130300000000000,2.623345775932283,1.990299568730136,1.492728713233208,2.101387710383446
29,30,1.108560000000000,2.544069903557141,1.667137473009104,1.522092192598708,2.103189493379168
7,8,0.898196,2.156905494861656,1.417173978082510,1.767478921382984,2.110924192176461
9,10,1.847600000000000,2.125723707440826,1.580434749870313,1.630061469588274,2.116367390377227
28,29,2.130300000000000,2.998515174178762,1.534780123969902,1.487050109630108,2.117974957923074
14,15,0.733622,2.068955450436527,1.537835488873582,1.467738782945323,2.151666641235351
19,20,1.847600000000000,2.823383962186839,1.437718013935630,5.885315945189084,2.151666641235352
40,41,2.130300000000000,3.220724638508798,1.398809335288508,1.561261815325573,2.155248635572247
11,12,2.130300000000000,2.567276505257569,1.888432266409614,1.446819709301087,2.177002724896809
13,14,1.847600000000000,2.309778615863019,1.945426121704633,1.491548090165510,2.185235603556805
12,13,0.733622,2.117556316187565,2.039274585437712,1.470974814579777,2.189361148588488
27,28,1.847600000000000,2.733996584491840,1.501948517287972,1.472141191987471,2.210584715951070
18,19,1.847600000000000,1.947646685660569,1.621606789890248,4.829469742005505,2.212481266117152
26,27,0.384177,2.417818501870252,1.407052490333687,1.383243856403940,2.214747883162120
10,11,1.847600000000000,2.373573122368891,1.473660644610313,1.447564094291431,2.227850999599297
45,46,2.130300000000000,2.277351226124927,1.417469495707548,1.619685975100737,2.229846386202215
38,39,1.847600000000000,2.694215846637881,1.371675427528734,1.437131886003593,2.231046162887424
43,44,2.130300000000000,1.745728614158669,1.611078263183352,1.922787858734857,2.238158022878105
1,2,1.847600000000000,2.021665600077418,1.441253465982050,1.714951349045378,2.242334545989404
25,26,0.898196,2.018444911101798,1.463257759123809,1.465614644565037,2.245000123977661
24,25,1.847600000000000,2.257583034274699,2.826764842399994,4.380123030496968,2.247552027627604
44,45,1.847600000000000,2.328320771928059,1.438154087425387,1.558632106235320,2.249250926822135
6,7,1.330620000000000,2.043464776388150,1.337748289163352,1.576872503633453,2.254589283370273
42,43,1.847600000000000,2.075509598938358,1.397416906585803,1.463967205754699,2.260823729641124
39,40,2.130300000000000,2.477685146237275,1.386730017969049,1.469545326128438,2.280813549498079
17,18,1.847600000000000,2.307932192436950,1.974848204340613,1.528669780132398,2.295166533395999
16,17,1.278180000000000,2.622466108041371,1.424119501488328,1.406061253869429,2.309217925677022
35,36,1.847600000000000,2.312034455637553,1.598475234616594,1.443899594996330,2.338912123657624
32,33,1.847600000000000,2.505022179688744,1.658090493250523,1.440523459054281,2.349248063699752
36,37,1.467840000000000,2.547187969985338,1.842627355389665,2.033047105702898,2.400000095367432
34,35,0.898196,2.136783773080342,1.352319143826215,1.516666650772095,2.493705591176315
2,3,1.111690000000000,2.455963213434598,1.383453606399810,2.371666669845581,2.496666669845581
31,32,2.130300000000000,2.142161376279786,1.516107130054311,1.447718958567022,2.505184375675577
5,6,2.130300000000000,2.459691044655423,1.494295656075797,1.652583614326987,2.525920323491793
30,31,0.898196,2.310944703347276,2.567677442735890,1.474347023084162,2.572096817235924
4,5,2.130300000000000,2.517728389440105,1.498493107674252,1.613917916853244,2.610863277152617
15,16,2.130300000000000,2.646889188730760,1.490249486339009,1.607977577778914,2.898333311080933
