FID,newID,X0_30cm,Sand10m30,Sand100m30,Sand250m30,Sand250mv2
21,22,60.035200000000003,60.135631776434508,61.854372320764554,60.626700000000000,10.307865396703827
23,24,60.035200000000003,59.825203603712922,56.923326541343187,59.363199999999999,34.943845355523280
20,21,60.035200000000003,59.494659724737190,57.515548505665677,59.790500000000002,45.092064847913015
22,23,60.035200000000003,55.852886241380133,61.365845083196099,60.451599999999999,50.041584677317374
14,15,64.250299999999996,57.124306289341511,59.360894214525842,59.867400000000004,53.687831819388641
0,1,66.313100000000006,54.093137733788218,58.950634781472679,58.506999999999998,53.690466496970679
9,10,66.313100000000006,55.145474711395913,59.106089931799843,59.214500000000001,53.955086931444399
2,3,39.791200000000003,50.522706298413347,60.003102477416526,58.776699999999998,53.983333587646484
6,7,79.237600000000000,50.571207416336172,58.504250098604267,57.318600000000004,54.652404179097125
19,20,66.313100000000006,52.090117827826468,61.270428328380369,57.675100000000000,54.850002288818359
8,9,83.450599999999994,50.084815164826558,58.651256472540851,57.656799999999997,54.866668701171882
13,14,66.313100000000006,53.954122026128871,57.629538124840515,59.791600000000003,55.058396876101760
1,2,66.313100000000006,52.493110655107813,58.919847025437690,57.363700000000001,55.082797695987246
7,8,66.444599999999994,55.303543867552584,58.711256319551524,57.719600000000000,55.439737992037479
40,41,60.035200000000003,54.711417824557039,60.096822893195217,58.581699999999998,55.853149317291418
18,19,66.313100000000006,56.202780295917833,60.022516203094710,58.352600000000002,55.855870666132830
4,5,60.035200000000003,52.275917030278677,57.186392107671196,56.308199999999999,55.970295360294024
12,13,64.250299999999996,56.260307673308176,58.058891503362752,59.514800000000001,56.095456587058564
39,40,60.035200000000003,54.589634737290694,59.449006761694612,57.922899999999998,56.382261061385080
24,25,66.313100000000006,59.065327113757107,58.112964407219998,58.488700000000001,56.441406634375952
15,16,60.035200000000003,52.787092067579721,55.825503714194724,56.844799999999999,56.614380386385392
45,46,60.035200000000003,52.663003379906165,60.539888208474970,58.500100000000003,57.241233796140179
47,48,60.035200000000003,51.717585952165528,56.322243964405892,56.043599999999998,57.550738324564321
36,37,66.365700000000004,51.758327512704781,56.130684274345469,56.838600000000000,57.683334350585930
11,12,60.035200000000003,50.970288823087941,58.095277622106494,58.141100000000002,57.693939289651027
28,29,60.035200000000003,51.488423513959312,55.694426937154546,55.231000000000002,57.771552816150049
5,6,60.035200000000003,51.878259194297847,57.943813509538700,57.856999999999999,57.780187975226198
26,27,66.329800000000006,54.548604503065611,55.665156157252603,56.836700000000000,57.800003051757805
16,17,36.021099999999997,52.082081044107127,56.789381258587682,57.445000000000000,57.808059154926717
41,42,60.035200000000003,48.726431042825524,56.640438691152539,56.788600000000002,57.852571847782535
35,36,66.313100000000006,54.467657153749549,59.147229545841419,59.348500000000001,57.854736022515489
33,34,60.035200000000003,50.479113250595567,55.358528577062415,56.571800000000003,57.871917749566791
27,28,66.313100000000006,51.556363899070369,56.172684655882968,56.594000000000001,57.985529833943289
30,31,66.444599999999994,58.453528848643579,59.182800491753561,59.952199999999998,58.252847201923451
31,32,60.035200000000003,55.585597479959333,62.748586878881930,59.906500000000001,58.287684324099828
29,30,39.787900000000000,53.299697270208284,56.755933579862550,58.064300000000003,58.311485129214923
37,38,66.313100000000006,53.704793595465951,56.817569112871205,55.873899999999999,58.444373725657677
17,18,66.313100000000006,53.249162566141059,59.615697991397376,59.917600000000000,58.657778552703185
43,44,60.035200000000003,51.826751353579205,57.327479195301599,56.302100000000003,58.672878223645213
42,43,66.313100000000006,55.006034809411574,58.482252709770925,56.228800000000000,58.711044071621465
44,45,66.313100000000006,51.625850865540322,57.787002703677054,57.528199999999998,58.770279320499661
38,39,66.313100000000006,54.167563030567543,58.925621061877472,58.503900000000002,58.824570206331721
32,33,66.313100000000006,52.876696831247976,58.108574484923444,58.784900000000000,58.839476010216984
10,11,66.313100000000006,51.719308051845893,58.571125868125705,58.742899999999999,59.226502747607157
25,26,66.444599999999994,55.281530961367260,57.449911335428396,59.475400000000000,60.262559959127351
34,35,66.444599999999994,54.646562762420231,60.504039035116442,60.876700000000000,60.926907576510736
