FID,newID,X0_30cm,BD50m30,BD100m30,BD250m30,BD250mv2
132,133,1.157180000000000,1.113554575396633,1.253609648156524,1.161200165086628,1.473899433497680
147,148,1.164170000000000,1.071749390259865,1.193046224142525,1.158333301544189,1.491646634614574
85,86,1.176380000000000,1.070937865350889,1.225539440859951,1.211080885375512,1.469006486291762
13,14,1.184880000000000,1.082235962790965,1.242824347744197,1.175903301691000,1.460421385125113
31,32,1.184880000000000,1.065472042329111,1.227133189596493,1.184243627809464,1.467640937950680
33,34,1.184880000000000,1.059423081088093,1.234562871170712,1.198428663760894,1.460822381997358
143,144,1.184880000000000,1.065647048029272,1.209401074086336,1.204588310381050,1.473857845342366
120,121,1.297710000000000,1.026521205925395,1.226972956564899,1.221534356755112,1.462094414821526
168,169,1.302880000000000,1.057054941991090,1.205862078781908,1.199632991773571,1.500230659308341
223,224,1.308550000000000,1.064971949011288,1.215410546092224,1.224857180671118,1.495032132294218
129,130,1.314350000000000,1.068939361365559,1.237157448462919,1.217851484106566,1.456075453094584
188,189,1.324760000000000,1.102279004206907,1.260074685615688,1.214364557383579,1.456744631991823
209,210,1.332040000000000,1.077074596606588,1.231368215526774,1.240864063288248,1.458237937594622
80,81,1.334250000000000,1.097418960904630,1.252240335139357,1.211666703224182,1.460000038146973
0,1,1.336080000000000,1.098785714476760,1.249107626914699,1.188225457805037,1.494758746136901
26,27,1.336080000000000,1.104590566542024,1.252155791376333,1.171601923364102,1.490437617777272
1,2,1.337160000000000,1.106564258456887,1.248745180719223,1.195822322737240,1.496666669845581
226,227,1.357580000000000,1.089790505906711,1.261556816837065,1.185995293460238,1.474563074105750
59,60,1.358410000000000,1.113456862584271,1.267168817939274,1.211691187331245,1.470802862832077
241,242,1.358410000000000,1.092114666800230,1.252597605025916,1.205828424981496,1.445616050765992
154,155,1.367280000000000,1.086748009003562,1.243705719422525,1.154048561091468,1.459299164478147
161,162,1.367280000000000,1.084803771831488,1.260617872472189,1.167955858433698,1.457356111913243
72,73,1.368600000000000,0.981793847,1.190586680142786,1.160098585718411,1.500901690808821
234,235,1.368600000000000,1.068699665572610,1.199847778562978,1.179793837534683,1.485331082068353
107,108,1.370860000000000,1.103394956414603,1.253656037549639,1.149491149623966,1.462647933614040
141,142,1.370860000000000,1.064229201910461,1.257754428129860,1.164295081165663,1.462527588679324
23,24,1.373010000000000,1.116612046651437,1.237875123481963,1.219928677181046,1.468631741698165
36,37,1.376570000000000,1.103361145351587,1.233838484149997,1.232026086605435,1.460380240160961
48,49,1.376570000000000,1.086339555840792,1.217219853954719,1.222358728641443,1.501531102870133
53,54,1.376570000000000,1.107746326670456,1.237977984424975,1.238614309895993,1.460804168194099
95,96,1.376570000000000,1.137104644514804,1.260349673372062,1.183371636196640,1.472128096523093
83,84,1.376600000000000,1.092826401630701,1.248099791985775,1.218784849562746,1.472627266708086
227,228,1.376600000000000,1.095573834486961,1.257474272416437,1.187218317693391,1.479176627553088
240,241,1.376600000000000,1.106605627087068,1.240317646609291,1.193135446908753,1.471808727452322
4,5,1.377030000000000,1.100391308786973,1.242147285428849,1.165878012352855,1.474381512923801
28,29,1.377030000000000,1.088645165560961,1.247541622910709,1.207284169355104,1.473610058856391
58,59,1.377030000000000,1.098712794216518,1.260338632643899,1.213892893102785,1.479330909373993
61,62,1.377030000000000,1.082835697848745,1.239740060960799,1.182937633177547,1.479867418279224
230,231,1.377030000000000,1.102384778318773,1.239211621212863,1.202570732873324,1.479096141209036
194,195,1.379640000000000,1.104710061228564,1.265722616744596,1.174126472419014,1.475816037412290
89,90,1.380100000000000,1.070585384238592,1.257133291970125,1.235657698780340,1.467349248739882
110,111,1.380100000000000,1.094922350903566,1.274946674986384,1.201452354626615,1.423296886052860
115,116,1.380100000000000,1.100253843213410,1.256315929599416,1.182935039226307,1.477033228434221
118,119,1.380100000000000,1.095299953819240,1.252526183507257,1.215907966366681,1.476401884619910
231,232,1.380100000000000,1.001873041913430,1.273227016500178,1.174960256523705,1.419545132582045
100,101,1.380570000000000,1.117047446276179,1.254159783937072,1.192296183843816,1.472397198081468
220,221,1.380570000000000,1.111222108535180,1.256404507209142,1.155255875670474,1.460452051737408
213,214,1.381580000000000,1.115792334174014,1.224919671022335,1.235934520776216,1.465318054154417
44,45,1.383640000000000,1.072993055954679,1.250863619953220,1.194394389298676,1.494377992039868
91,92,1.383640000000000,1.095324339854474,1.223097434795876,1.223174048963393,1.458093918138727
123,124,1.383640000000000,1.091629824437961,1.248968288361980,1.171392000927218,1.473820593935351
137,138,1.383640000000000,1.096525368897789,1.239395502285971,1.224293898668361,1.466701633943548
38,39,1.385470000000000,1.098338585210770,1.240555880232420,1.194943349372123,1.464414751071746
54,55,1.385470000000000,1.100479963649331,1.238276040793085,1.205071996795323,1.476262500316354
148,149,1.385470000000000,1.093820298784953,1.231570499583569,1.162614024156290,1.456687096305478
214,215,1.385470000000000,1.114007666680983,1.214176328071978,1.200139708556402,1.470469737522265
250,251,1.385470000000000,1.093276885131401,1.256672570491741,1.204700589145267,1.464822927208347
27,28,1.386150000000000,1.088303718255862,1.239290293736147,1.206318942921976,1.482126274206857
29,30,1.386150000000000,1.084209042624866,1.243318558424709,1.182552033072183,1.463063469241287
43,44,1.386150000000000,1.118579412789812,1.246471293460031,1.190254636557281,1.485966189534556
102,103,1.386150000000000,1.103105246178915,1.225607650356423,1.195651396540376,1.472865708464976
