FID,newID,X0_30cm,Clay50m30,Clay100m30,Clay250m30,Clay250mv2
72,73,20.719500000000000,29.098917535216913,21.756191206720679,23.661572696153385,35.483443823679082
234,235,20.719500000000000,25.466189281342050,15.044049234135386,19.495978027106084,31.938457197032893
147,148,23.239300000000000,27.491277328759324,23.242043811321039,23.039999008178711,31.686520020442536
132,133,23.780300000000000,35.568816610124593,15.435316844550057,19.723728314881772,30.907503875139341
17,18,24.575600000000001,32.493590979580560,17.350387438767715,18.189505665311604,33.379438449435334
13,14,25.549600000000002,29.023701791939231,20.444070727547782,22.916510757385470,31.382449423633364
31,32,25.549600000000002,24.477454658343593,22.164642293462030,23.833335792823942,30.578217740239243
33,34,25.549600000000002,28.439041637028499,21.927979804650661,22.290874103983889,31.853779458587820
143,144,25.549600000000002,29.385497622925371,22.776135100060635,23.382982685973374,28.549445648693993
23,24,25.879899999999999,26.679195950052094,20.331387531165579,20.854215200889097,29.178165846641157
154,155,26.181699999999999,33.327148343870498,14.851411532010692,19.469718540254945,27.806985121234245
161,162,26.181699999999999,32.747521078838368,14.795417194755055,18.777066286907324,28.215330224826811
95,96,26.288200000000000,38.638520115313199,12.325639310152139,16.628321666560439,31.740131701931954
107,108,26.290199999999999,36.109216862250776,15.285628880899297,19.134424469740605,31.206029366919292
141,142,26.290199999999999,31.836900456773279,14.527590769150640,18.895763491984098,30.092943977940475
168,169,26.337499999999999,25.979265949258696,21.917236546812774,22.245126466462349,34.205331485290898
36,37,26.617500000000000,27.920876479212424,20.512074187315513,20.647424451867817,28.725333116665830
48,49,26.617500000000000,33.018240166666502,20.198905322268043,19.935588462329772,32.422786242538372
53,54,26.617500000000000,30.093797701261465,21.262376811047016,21.121183360241893,29.381282075971416
10,11,26.694500000000001,32.787468390669986,20.124158760051188,23.877076094468919,30.348415140372637
188,189,26.764600000000002,35.052126523528116,13.185543499661089,16.024520188250012,31.788023480696097
226,227,26.971299999999999,26.615268261612801,13.001008383318418,17.136485769852435,32.984012844968937
3,4,27.423100000000002,29.221942677025442,19.584277524339910,21.362198373824924,30.896245487970969
12,13,27.423100000000002,34.647466803707601,19.402851187409642,19.869865730141981,32.011778928279817
216,217,27.669100000000000,27.781410742351852,15.805569553204252,20.024848290931754,29.189606959184061
194,195,27.739999999999998,26.580480551685724,13.319276469998906,17.246641685370101,32.922058115756982
59,60,27.763100000000001,33.477132903994267,12.918326522290812,16.032584615149606,30.427242616551219
