FID,newID,X0_30cm,SOC50m30,SOC100m30,SOC250m30,SOC250mv2
129,130,0.988063,1.391896980861139,2.200765968890630,2.579451363985502,1.885206541658713
147,148,1.083210000000000,2.028624984923756,3.280188691161956,2.960000038146973,1.476626844488992
72,73,1.092380000000000,2.514474812083371,2.540578564604830,2.601038894023836,1.404781793793775
234,235,1.092380000000000,1.978493066753007,2.530098251801730,2.784737639808201,1.450400473256356
85,86,1.114470000000000,2.094296642623992,2.720193311330941,2.577408374018821,1.463782602649919
239,240,1.139770000000000,1.781340200716078,2.121902935808742,2.536835278858382,1.572209042211969
13,14,1.158130000000000,2.157908838252182,2.433396758769475,2.585612567142204,1.668472272434824
31,32,1.158130000000000,2.127363425015853,2.992839407404120,3.067576446604568,1.576186524002115
33,34,1.158130000000000,2.051770799997807,3.191398240588074,3.006484816840591,1.627099460897127
143,144,1.158130000000000,2.241938568138026,3.135063803424495,2.864212657245534,1.555862000896279
17,18,1.184580000000000,1.839504751419503,2.438255500649944,2.379607190924589,1.401936420375003
101,102,1.245740000000000,1.896867031231100,2.488378098405199,2.594058162207170,1.488623328755312
132,133,1.246200000000000,1.736504448696525,2.296779423404558,2.878387574139452,1.534657340969014
10,11,1.257720000000000,2.027550856681938,2.521200713965788,2.794085594394029,1.648459213194064
40,41,1.261450000000000,1.983424775604516,3.097758430451082,2.811414963717053,1.510604379868815
42,43,1.261450000000000,1.870165415188335,2.753533560156396,2.578076928930646,1.569515143130725
244,245,1.288680000000000,2.033021030240978,3.324233696781397,3.684905141322390,2.109938990714584
3,4,1.289950000000000,2.133518681248860,2.547654305743373,2.438707875121426,1.702011652768900
12,13,1.289950000000000,1.946533891511804,2.630691129819539,2.519704430045609,1.522522247056644
223,224,1.294650000000000,1.607107956264916,2.543180701658666,2.282015940725290,1.405486263975960
65,66,1.311840000000000,1.983959283301036,2.943929214671149,2.780362134174094,1.460787399901646
97,98,1.311840000000000,2.151039115569811,3.121212961293386,2.597128888427151,1.469106637306905
181,182,1.311840000000000,1.869446047005619,2.692852818701303,2.604623466606450,1.346197039143840
232,233,1.311840000000000,2.064911984061589,2.586101529984167,2.535195391717012,1.488453955614183
242,243,1.311840000000000,2.030153528924524,2.613704494199776,2.530311636230851,1.347006347746744
168,169,1.312140000000000,1.839234660788770,2.590479688677732,2.497712714494197,1.397887459713733
95,96,1.330330000000000,1.676744315567115,2.541948717288459,2.946793701542218,1.550317689775479
38,39,1.335340000000000,2.182574784930552,2.189884217659571,2.369873967092940,1.625858737743466
