FID,newID,X0_30cm,Sand100m30,Sand250m30,Sand50m30,Sand250mv2
209,210,15.666100000000000,54.932154453186897,57.136254746765204,30.555000000000000,29.291311580481374
168,169,16.404800000000002,48.323763358288943,45.694340615808898,23.846000000000000,27.955420724023174
0,1,18.888600000000000,48.989315491485101,46.963169413046664,21.741299999999999,35.227670880629688
26,27,18.888600000000000,52.323658524670101,50.641476938222304,29.451599999999999,32.139719864049546
80,81,19.092900000000000,55.658583562460436,56.720001220703125,23.455600000000000,30.033332824707031
120,121,19.676400000000001,55.717268431495874,55.099446318724453,19.534900000000000,31.454692161317308
129,130,20.281199999999998,53.155320672892671,56.943596335205342,21.761900000000001,32.843835765294848
223,224,20.661100000000001,47.951766430933738,45.593870706353584,27.359600000000000,30.873684618060132
188,189,25.682500000000001,55.185029668695833,55.862508418617153,32.372399999999999,35.795420630680098
132,133,27.982399999999998,53.170429322888943,47.951569568441798,28.806699999999999,34.160179666482556
1,2,28.125100000000000,49.914341194409332,45.784981095748904,25.579599999999999,35.245975059715242
85,86,29.143400000000000,49.778396323793885,46.945051556257006,34.194000000000003,31.203869393744313
147,148,29.376200000000001,51.726530097930947,44.864997863769531,29.494199999999999,35.440836538322273
240,241,29.796099999999999,53.238783962681801,53.733231531389919,30.164500000000000,31.918058385691172
100,101,29.880500000000001,49.008356673365284,49.758076802566066,29.607900000000001,30.668220560670228
220,221,29.880500000000001,49.609423150312637,49.676111251357668,34.894300000000001,31.335073802730719
107,108,29.988499999999998,55.263907617572428,48.983959370821864,26.439499999999999,34.437310613796654
141,142,29.988499999999998,52.698016219877438,48.983725199448628,27.616900000000001,32.845608856100696
154,155,30.291100000000000,47.039014267632133,46.002862385888839,35.034599999999998,34.553110028578772
161,162,30.291100000000000,51.249624997341179,48.292243004827682,33.408299999999997,34.185844945869952
13,14,30.604900000000001,48.797915441323731,45.899606671159965,35.798999999999999,33.471456232225414
31,32,30.604900000000001,52.208118808196978,47.311194942481968,31.429500000000001,35.111991695846541
33,34,30.604900000000001,50.475516954331518,47.869057438332234,35.953000000000003,35.121244107080877
143,144,30.604900000000001,49.682555752162102,45.805535902945579,30.597799999999999,30.858559080827309
83,84,30.718299999999999,48.036638132116465,53.571309832036519,33.258800000000001,33.144761869128395
227,228,30.718299999999999,48.168728755791307,49.460631908684704,35.250999999999998,30.787271098283764
216,217,30.829300000000000,46.040910842693947,46.872683063957560,29.525800000000000,35.279702400217111
79,80,30.878599999999999,50.637695777568162,54.309950149907365,23.426200000000001,31.838741983370898
