FID,newID,X0_30cm,BD10m30,BD100m30,BD250m30,BD250mv2
51,52,1.265010000000000,0.965822577,1.278212093395727,1.274765783794173,1.318934191144285
53,54,1.333230000000000,0.965822577,1.262343124747403,1.278295496323384,1.337468264520386
144,145,1.275010000000000,0.965822577,1.249593898494669,1.228357217426573,1.308714983598446
151,152,0.322492,0.965984047,1.253745052932521,1.192449558400682,1.181512228312128
70,71,1.236740000000000,0.990391407,1.319797059141764,1.307826526351509,1.324484115430831
69,70,1.434300000000000,0.990650908,1.263305239573825,1.289928653744338,1.327750570031115
93,94,1.288970000000000,0.996187482,1.255320200385654,1.227659977710352,1.276208869897444
47,48,1.184140000000000,1.000832250220896,1.290175826807587,1.292252287805960,1.318435090849379
79,80,1.446020000000000,1.008289394267574,1.236838219897942,1.218332711687512,1.314049526520362
98,99,1.275010000000000,1.014183648209025,1.241546038713746,1.241182097724203,1.307998079900041
123,124,1.026480000000000,1.020166977499221,1.302151951787385,1.288339504290872,1.310157759445922
102,103,1.436340000000000,1.042013471810433,1.244354722062726,1.227060926461901,1.282379846825375
59,60,0.646121,1.043716970870167,1.292252890765122,1.317414369958147,1.281969791580728
77,78,1.270910000000000,1.048201708300223,1.297140065742524,1.317387665413722,1.340886651242951
46,47,1.401250000000000,1.049878395712056,1.284675996337452,1.306869557865010,1.325316664734011
61,62,1.171300000000000,1.053029070118004,1.263614802744991,1.258244756066589,1.316012124219150
66,67,0.322492,1.059065610932971,1.255897122915264,1.247040459464697,1.292764451675743
67,68,1.331380000000000,1.064844836182728,1.261114288952202,1.259815100343076,1.340897284640431
120,121,1.240230000000000,1.065016686718371,1.286726639552017,1.296468504756340,1.301228469935527
122,123,1.345650000000000,1.065899011109595,1.248418204851676,1.215727776213361,1.325683102123786
74,75,1.275010000000000,1.072868973369849,1.267011756304519,1.248127843172309,1.304713670537772
92,93,1.369470000000000,1.078815294319924,1.264640950978999,1.259876846648328,1.301696747350093
142,143,1.435120000000000,1.086531165479275,1.287088754324861,1.287807812883853,1.309451530843811
110,111,1.436250000000000,1.089219783927762,1.239912274210659,1.222252126877375,1.324169398297805
76,77,1.254650000000000,1.096002207566928,1.259757165522672,1.267686960983500,1.313437213884161
71,72,1.270910000000000,1.101488196095464,1.270118097588702,1.263753163073450,1.328644858269830
137,138,1.440470000000000,1.103303865848657,1.281912140563441,1.284314264433140,1.289958217014899
95,96,1.437090000000000,1.111639219374564,1.257834754987010,1.245824912989204,1.323469870653601
124,125,1.328990000000000,1.112105103427583,1.282152842902214,1.255251319431942,1.321578137866416
121,122,1.026480000000000,1.114493327537024,1.290366599027137,1.290352426060043,1.300880543382302
58,59,1.328290000000000,1.115995814412107,1.286709700505704,1.269089364331786,1.309651493946880
135,136,1.435120000000000,1.124648939080495,1.256499899623817,1.264482861705181,1.321115324500190
62,63,1.171300000000000,1.124661519663805,1.264988262270308,1.273382373466810,1.341373218373734
97,98,1.355970000000000,1.124807588032417,1.266042091048329,1.277153965988994,1.336253725480929
89,90,1.436250000000000,1.124947944479214,1.257546127482563,1.229149067123126,1.292028166985269
96,97,1.446020000000000,1.134747672229663,1.263811122534741,1.299731369323834,1.313727741058612
130,131,1.026480000000000,1.135804371152181,1.294639001659857,1.255659281969592,1.307309977366595
104,105,1.254650000000000,1.137010759135438,1.260900608512212,1.259951314429917,1.317125104210165
117,118,1.214120000000000,1.137968505421771,1.239426891663427,1.252131710441911,1.321515910248175
136,137,1.300010000000000,1.138411529528859,1.252236024021586,1.239319499192201,1.319983251788089
75,76,1.436250000000000,1.138413267129119,1.267693563934283,1.266222399743183,1.304797473013897
54,55,1.490370000000000,1.149649782285637,1.263966837668611,1.270714610970652,1.340975268876513
138,139,1.490370000000000,1.151459127528847,1.292218208886997,1.280123764966639,1.293686270343298
44,45,1.328290000000000,1.167401662064108,1.284857085254528,1.312472975247155,1.332546663502189
88,89,1.436340000000000,1.178100590737918,1.272497695067812,1.276474167844760,1.320661462811354
125,126,1.254650000000000,1.191464485779720,1.268313453970710,1.253449879399669,1.324143373024781
