FID,newID,X0_30cm,SOC10m,SOC100m,SOC250m,SOC250mv2
88,89,1.797490000000000,1.933433823062318,2.630801626439349,2.815528984201554,3.793708794868203
125,126,1.422010000000000,1.971461983615287,2.776686771683550,2.909533045855661,3.122336013000803
138,139,0.891492,2.006356987843905,2.378283508659318,1.987176352590310,3.101689028592237
130,131,2.971790000000000,2.073458705611591,2.297237151423623,2.571345576265029,3.238501143420401
75,76,1.806020000000000,2.117443093554021,2.645191123334830,2.442005007763544,3.351329895017270
97,98,2.187050000000000,2.129643616234808,2.622054549357865,2.478549032598718,3.096978757724894
89,90,1.806020000000000,2.152195128008843,2.836495718498597,2.526620914872189,3.218972311889980
121,122,2.971790000000000,2.166448182675757,2.124906000413117,1.995107778209578,3.303697822078246
104,105,1.422010000000000,2.199717589675637,2.491094807261890,2.275368238409379,3.242335791068216
136,137,1.631980000000000,2.228481177600389,3.045587091178847,3.043041969445786,3.099848945317794
137,138,3.394320000000000,2.271690043216423,2.695278317555410,2.447084863771940,3.319708232318981
117,118,3.096050000000000,2.273883883585535,2.594811553315855,2.724086589054123,3.386721609244477
135,136,1.797490000000000,2.300946761002808,3.000943837010928,2.873225895010345,3.007582585073135
142,143,1.797490000000000,2.334502016827363,2.594947790121173,2.467865086244277,2.961695312157433
96,97,0.928375,2.336188033583916,2.477675553033173,1.996888908651218,3.296214450457100
44,45,0.394819,2.358622754534923,1.834953238623591,1.631343246497862,2.994316967423567
58,59,0.394819,2.376219344621979,2.306678602984105,2.476298809542647,3.578707143310233
54,55,0.891492,2.415108687427264,2.938286832124643,2.785840320019954,3.094233669740123
95,96,2.123680000000000,2.471920240933411,2.495988159086180,2.469696289087497,3.381337163538281
62,63,3.096050000000000,2.484216456257924,2.281686236388214,2.416875356316496,3.025238458102032
71,72,4.056350000000000,2.491222006097983,2.459300792306397,2.218417651942210,3.128432614715426
124,125,2.200760000000000,2.712712582177092,2.600011048460614,2.652363291541025,3.291485326582950
120,121,2.805150000000000,2.725791481439826,2.492432623498663,2.452966026656143,3.505236991677857
92,93,1.125830000000000,2.744590252091285,2.586316309591446,2.549965962150051,3.552296130056685
66,67,30.430499999999999,2.774672694336793,2.910848255041579,2.793744407319785,3.559693913113489
76,77,1.422010000000000,2.784466307178666,2.523659023998397,2.683521513747439,3.579193663386045
59,60,22.307500000000001,2.913792691879205,2.365889227790547,2.089351653290777,3.506194850050170
102,103,1.797490000000000,2.926496032736608,3.502204837346806,3.285228680150839,3.463715818846294
110,111,1.806020000000000,2.943839241885891,2.648617893032221,2.510709852437294,3.273732283644623
67,68,1.224560000000000,2.945511831582812,3.048853296540543,2.977209082087417,3.254915162043282
123,124,2.971790000000000,2.984647854163705,2.591353964776969,2.110716819208175,3.153528848219503
122,123,2.201210000000000,3.019375829410096,3.331752343938973,3.284051343074587,3.355771989897124
77,78,4.056350000000000,3.027913393904201,2.823973728635962,2.292150339736197,3.120455994126848
74,75,2.027650000000000,3.155416122757213,2.866855891300101,2.781479388218897,3.829467278588609
46,47,3.353920000000000,3.208721912303468,2.439983468079762,1.888894216817722,3.086538483733273
93,94,3.199200000000000,3.209632479643020,2.503860143284991,2.750983308052753,3.376280974634318
98,99,2.027650000000000,3.242263463596446,2.359272873316920,2.079064609145370,3.163670794118417
61,62,3.096050000000000,3.338608737179182,2.595110044729856,2.297838977587596,3.092474267398667
47,48,3.096050000000000,3.970538187663025,2.322822108357242,1.965416165610074,3.482141903641674
79,80,0.928375,4.043606252735037,2.972918753719497,3.205105250198796,3.458959078490184
69,70,1.040200000000000,4.210039689181957,3.079858571587713,2.971317769652646,3.340087908518631
70,71,3.280740000000000,4.216042371449069,2.517279100009695,2.314521232062609,3.456858638434739
151,152,30.430499999999999,4.579784265500391,3.320784314315466,3.980644504186503,3.635062112092494
51,52,3.120110000000000,4.582528591156003,2.560392917891469,2.053901414795592,3.638038754970724
144,145,2.027650000000000,4.582528591156006,2.882471165006924,2.680585422561649,3.176131603803178
53,54,0.335961,4.582528591156008,2.045988361627114,2.183780716296654,2.880135946325700
