"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"1",44,0,1,5,0,0,0,0,0,0,0,0,8,1,13,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0
"2",0,61,0,13,0,2,1,2,0,0,7,0,1,4,1,22,0,11,0,0,0,0,3,3,1,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,17,0,61,0,0,0,0,0,0,0,1,9,1,1,28,0,7,0,0,1,2,31,2,1,0,0,0,0,0,1
"5",0,1,0,0,195,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13,1,0,9,2,0,14,0
"6",0,5,0,0,31,168,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,3,4,0,0,8,2
"7",0,4,0,1,0,31,349,26,0,0,0,0,8,2,0,12,0,1,0,0,0,0,0,22,4,1,7,0,0,0,1
"8",0,3,0,0,0,0,10,46,0,0,0,0,7,2,0,7,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",11,2,0,3,0,0,0,1,0,0,0,1,50,6,5,4,0,2,3,0,0,0,12,0,0,0,0,0,0,0,0
"14",1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",14,0,0,0,0,0,0,0,0,0,0,1,18,0,137,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
"16",2,51,7,19,0,0,24,45,0,0,8,12,15,13,0,674,13,89,0,0,0,0,5,33,2,1,5,3,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,27,0,0,0,0,0,0,0,0
"23",15,12,63,53,0,0,0,0,0,0,0,39,87,53,6,138,51,47,7,0,3,92,924,9,9,0,0,0,0,0,0
"24",0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,19,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
