"POLY_ID","SLC_GG","PERCENT_SLC","PSM_GG","SLC_GG_3","PSM_GG_3"
242021,16,40,"2","16","2"
242022,11,40,"2","11","2"
242023,11,40,"2","11","2"
242024,11,60,"2","11","2"
242025,16,30,"2","16","2"
242026,11,40,"2","11","2"
242027,18,60,"2","18","2"
242028,11,50,"2","11","2"
242029,18,60,"2","18","2"
243001,11,30,"2","11","2"
243004,16,40,"2","16","2"
243005,16,60,"2","16","2"
244007,16,55,"16","16","16"
244029,18,40,"16","18","16"
244039,16,30,"16","16","16"
244040,11,40,"16","11","16"
244041,18,70,"16","18","16"
244043,18,40,"16","18","16"
244046,18,40,"2","18","2"
244047,14,60,"16","14","16"
244048,16,30,"16","16","16"
244050,14,50,"16","14","16"
244052,16,60,"16","16","16"
244053,14,90,"16","14","16"
244054,12,40,"16","12","16"
244055,16,30,"16","16","16"
244056,12,30,"16","12","16"
244058,14,30,"16","14","16"
244059,16,40,"16","16","16"
244060,24,60,"16","24","16"
244061,27,60,"16","27","16"
244062,16,60,"16","16","16"
244063,18,60,"16","18","16"
244064,16,70,"16","16","16"
244065,16,60,"16","16","16"
244066,16,80,"16","16","16"
244067,16,40,"16","16","16"
244068,16,60,"16","16","16"
244069,8,70,"16","8","16"
244070,16,70,"16","16","16"
245001,18,40,"16","18","16"
245002,16,50,"16","16","16"
245003,18,40,"16","18","16"
245004,18,70,"16","18","16"
245005,18,70,"16","18","16"
245006,16,50,"16","16","16"
249006,11,50,"11","11","11"
250002,16,40,"16","16","16"
250004,16,50,"16","16","16"
251002,11,80,"11","11","11"
251003,11,40,"11","11","11"
251004,11,30,"16","11","16"
251005,14,40,"2","14","2"
251006,11,40,"2","11","2"
251007,16,40,"16","16","16"
251008,16,40,"2","16","2"
251009,16,50,"16","16","16"
251010,16,40,"16","16","16"
251011,16,50,"16","16","16"
251012,16,40,"16","16","16"
251013,11,50,"16","11","16"
253001,16,40,"2","16","2"
253002,16,80,"2","16","2"
253003,16,50,"16","16","16"
253004,16,30,"16","16","16"
253005,16,70,"16","16","16"
253006,18,60,"16","18","16"
253007,16,60,"16","16","16"
254001,16,40,"16","16","16"
254002,11,50,"16","11","16"
254003,16,40,"16","16","16"
254004,11,50,"11","11","11"
263007,18,25,"2","18","2"
263008,4,30,"2","4","2"
263009,4,40,"2","4","2"
263023,4,60,"2","4","2"
263026,24,60,"2","24","2"
331005,18,70,"2","18","2"
331016,4,60,"4","4","4"
331021,18,40,"4","18","4"
338004,4,80,"4","4","4"
375001,16,50,"16","16","16"
