"POLY_ID","CMP","PERCENT","SOIL_CODE","SOIL_ID","CMP_ID","ORDER3","G_GROUP3","GTGRP","GG_ID"
242021,1,40,"BUF","ABBUFgl~~~N",24202101,"LU","GL","gray",16
242021,2,30,"KEG","ABKEG~~~~~N",24202102,"GL","G","gleysol",14
242021,3,30,"MLD","ABMLD~~~~~N",24202103,"OR","M","mesisol",18
242022,1,40,"MKW","ABMKW~~~~~N",24202201,"CY","OC","organic",11
242022,2,30,"MLD","ABMLD~~~~~N",24202202,"OR","M","mesisol",18
242022,3,30,"SEN","ABSEN~~~~~N",24202203,"LU","GL","gray",16
242023,1,40,"MKW","ABMKW~~~~~N",24202301,"CY","OC","organic",11
242023,2,30,"MLD","ABMLD~~~~~N",24202302,"OR","M","mesisol",18
242023,3,30,"SEN","ABSEN~~~~~N",24202303,"LU","GL","gray",16
242024,1,60,"MKW","ABMKW~~~~~N",24202401,"CY","OC","organic",11
242024,2,20,"HHY","ABHHY~~~~~N",24202402,"BR","EB","eutric",2
242024,3,20,"MLD","ABMLD~~~~~N",24202403,"OR","M","mesisol",18
242025,1,30,"COS","ABCOS~~~~~A",24202501,"LU","GL","gray",16
242025,2,30,"RUT","ABRUT~~~~~N",24202502,"BR","EB","eutric",2
242025,3,20,"MLD","ABMLD~~~~~N",24202503,"OR","M","mesisol",18
242026,1,40,"MKW","ABMKW~~~~~N",24202601,"CY","OC","organic",11
242026,2,30,"HHY","ABHHY~~~~~N",24202602,"BR","EB","eutric",2
242026,3,30,"MLD","ABMLD~~~~~N",24202603,"OR","M","mesisol",18
242027,1,40,"MUS","ABMUS~~~~~N",24202701,"OR","M","mesisol",18
242027,2,20,"BUF","ABBUF~~~~~N",24202702,"LU","GL","gray",16
242027,3,20,"MLD","ABMLD~~~~~N",24202703,"OR","M","mesisol",18
242027,4,20,"STP","ABSTP~~~~~N",24202704,"GL","G","gleysol",14
242028,1,50,"MKW","ABMKW~~~~~N",24202801,"CY","OC","organic",11
242028,2,20,"BUF","ABBUF~~~~~N",24202802,"LU","GL","gray",16
242028,3,20,"MLD","ABMLD~~~~~N",24202803,"OR","M","mesisol",18
242028,4,10,"STP","ABSTP~~~~~N",24202804,"GL","G","gleysol",14
242029,1,40,"MUS","ABMUS~~~~~N",24202901,"OR","M","mesisol",18
242029,2,20,"BUF","ABBUF~~~~~N",24202902,"LU","GL","gray",16
242029,3,20,"MLD","ABMLD~~~~~N",24202903,"OR","M","mesisol",18
242029,4,20,"STP","ABSTP~~~~~N",24202904,"GL","G","gleysol",14
243001,1,30,"MKW","ABMKW~~~~~N",24300101,"CY","OC","organic",11
243001,2,30,"MLD","ABMLD~~~~~N",24300102,"OR","M","mesisol",18
243001,3,20,"BUF","ABBUF~~~~~N",24300103,"LU","GL","gray",16
243001,4,20,"HHY","ABHHY~~~~~N",24300104,"BR","EB","eutric",2
243004,1,40,"BUF","ABBUF~~~~~N",24300401,"LU","GL","gray",16
243004,2,20,"HHY","ABHHY~~~~~N",24300402,"BR","EB","eutric",2
243004,3,20,"MKW","ABMKW~~~~~N",24300403,"CY","OC","organic",11
243004,4,20,"MLD","ABMLD~~~~~N",24300404,"OR","M","mesisol",18
243005,1,60,"BUF","ABBUF~~~~~N",24300501,"LU","GL","gray",16
243005,2,20,"MKW","ABMKW~~~~~N",24300502,"CY","OC","organic",11
243005,3,20,"MLD","ABMLD~~~~~N",24300503,"OR","M","mesisol",18
244007,1,55,"SIK","BCSIK~~~~~N",24400701,"LU","GL","gray",16
244007,2,30,"KWE","BCKWEp~~~~N",24400702,"GL","HG","humic",13
244007,3,15,"MCE","BCMCE~~~~~N",24400703,"OR","F","fibrisol",17
244029,1,40,"MUS","ABMUS~~~~~N",24402901,"OR","M","mesisol",18
244029,2,30,"ALG","ABALG~~~~~N",24402902,"GL","LG","luvic",12
244029,3,20,"DOV","ABDOV~~~~~N",24402903,"LU","GL","gray",16
244029,4,10,"LGD","ABLGD~~~~~N",24402904,"LU","GL","gray",16
244039,1,30,"DOV","ABDOV~~~~~N",24403901,"LU","GL","gray",16
244039,2,30,"JSN","ABJSN~~~~~N",24403902,"SZ","SS","solodized solonetz",27
244039,3,20,"ALG","ABALG~~~~~N",24403903,"GL","LG","luvic",12
244039,4,20,"MLD","ABMLD~~~~~N",24403904,"OR","M","mesisol",18
244040,1,40,"MKW","ABMKW~~~~~N",24404001,"CY","OC","organic",11
244040,2,30,"DOV","ABDOV~~~~~N",24404002,"LU","GL","gray",16
244040,3,30,"MLD","ABMLD~~~~~N",24404003,"OR","M","mesisol",18
244041,1,50,"MUS","ABMUS~~~~~N",24404101,"OR","M","mesisol",18
244041,2,20,"DOV","ABDOV~~~~~N",24404102,"LU","GL","gray",16
244041,3,20,"MLD","ABMLD~~~~~N",24404103,"OR","M","mesisol",18
244041,4,10,"ALG","ABALG~~~~~N",24404104,"GL","LG","luvic",12
244043,1,40,"MUS","ABMUS~~~~~N",24404301,"OR","M","mesisol",18
244043,2,30,"ALG","ABALG~~~~~N",24404302,"GL","LG","luvic",12
244043,3,20,"DOV","ABDOV~~~~~N",24404303,"LU","GL","gray",16
244043,4,10,"ZAV","ABZAV~~~~~N",24404304,"RG","HR","humic",25
244046,1,40,"MLD","ABMLD~~~~~N",24404601,"OR","M","mesisol",18
244046,2,30,"MKW","ABMKW~~~~~N",24404602,"CY","OC","organic",11
244046,3,20,"DOV","ABDOV~~~~~N",24404603,"LU","GL","gray",16
244046,4,10,"ALG","ABALG~~~~~N",24404604,"GL","LG","luvic",12
244047,1,30,"CHT","ABCHT~~~~~N",24404701,"GL","G","gleysol",14
244047,2,30,"SLT","ABSLT~~~~~N",24404702,"GL","G","gleysol",14
244047,3,20,"JSN","ABJSN~~~~~N",24404703,"SZ","SS","solodized solonetz",27
244047,4,20,"MLD","ABMLD~~~~~N",24404704,"OR","M","mesisol",18
244048,1,30,"DOV","ABDOV~~~~~N",24404801,"LU","GL","gray",16
244048,2,30,"MLD","ABMLD~~~~~N",24404802,"OR","M","mesisol",18
244048,3,20,"ALG","ABALG~~~~~N",24404803,"GL","LG","luvic",12
244048,4,20,"JSN","ABJSN~~~~~N",24404804,"SZ","SS","solodized solonetz",27
244050,1,50,"CHT","ABCHT~~~~~N",24405001,"GL","G","gleysol",14
244050,2,30,"MLD","ABMLDxc~~~N",24405002,"OR","M","mesisol",18
244050,3,20,"ALG","ABALG~~~~~N",24405003,"GL","LG","luvic",12
244052,1,40,"COS","ABCOS~~~~~A",24405201,"LU","GL","gray",16
244052,2,20,"MER","ABMER~~~~~N",24405202,"LU","GL","gray",16
244052,3,20,"RUT","ABRUT~~~~~N",24405203,"BR","EB","eutric",2
244053,1,60,"CHT","ABCHT~~~~~N",24405301,"GL","G","gleysol",14
244053,2,30,"MMW","ABMMW~~~~~N",24405302,"GL","G","gleysol",14
244053,3,10,"ZGW","ABZGWsa~~~N",24405303,"GL","HG","humic",13
244054,1,40,"ALG","ABALG~~~~~N",24405401,"GL","LG","luvic",12
244054,2,40,"DOV","ABDOV~~~~~N",24405402,"LU","GL","gray",16
244054,3,20,"MLD","ABMLDxc~~~N",24405403,"OR","M","mesisol",18
244055,1,30,"DOV","ABDOV~~~~~N",24405501,"LU","GL","gray",16
244055,2,30,"MLD","ABMLD~~~~~N",24405502,"OR","M","mesisol",18
244055,3,20,"ALG","ABALG~~~~~N",24405503,"GL","LG","luvic",12
244055,4,20,"JSN","ABJSN~~~~~N",24405504,"SZ","SS","solodized solonetz",27
244056,1,30,"ALG","ABALG~~~~~N",24405601,"GL","LG","luvic",12
244056,2,30,"DOV","ABDOV~~~~~N",24405602,"LU","GL","gray",16
244056,3,20,"JSN","ABJSN~~~~~N",24405603,"SZ","SS","solodized solonetz",27
244056,4,20,"MLD","ABMLD~~~~~N",24405604,"OR","M","mesisol",18
244058,1,30,"KEG","ABKEGpt~~~N",24405801,"GL","G","gleysol",14
244058,2,30,"LRC","ABLRC~~~~~A",24405802,"SZ","SS","solodized solonetz",27
244058,3,20,"MER","ABMER~~~~~N",24405803,"LU","GL","gray",16
244058,4,20,"MLD","ABMLD~~~~~N",24405804,"OR","M","mesisol",18
244059,1,40,"DOV","ABDOV~~~~~N",24405901,"LU","GL","gray",16
244059,2,30,"ALG","ABALG~~~~~N",24405902,"GL","LG","luvic",12
244059,3,30,"MLD","ABMLDxc~~~N",24405903,"OR","M","mesisol",18
244060,1,60,"MMY","ABMMY~~~~~N",24406001,"RG","R","regosol",24
244060,2,40,"MMW","ABMMW~~~~~N",24406002,"GL","G","gleysol",14
244061,1,60,"LRC","ABLRC~~~~~A",24406101,"SZ","SS","solodized solonetz",27
244061,2,20,"MLD","ABMLD~~~~~N",24406102,"OR","M","mesisol",18
244061,3,20,"SIP","ABSIP~~~~~N",24406103,"GL","LG","luvic",12
244062,1,40,"DOV","ABDOV~~~~~N",24406201,"LU","GL","gray",16
244062,2,20,"ALG","ABALG~~~~~N",24406202,"GL","LG","luvic",12
244062,3,20,"COS","ABCOS~~~~~A",24406203,"LU","GL","gray",16
244062,4,20,"MLD","ABMLDxc~~~N",24406204,"OR","M","mesisol",18
