"POLY_ID","GG_ID","PERCENT_merged"
242021,16,40
242022,11,40
242023,11,40
242024,11,60
242025,16,30
242026,11,40
242027,18,60
242028,11,50
242029,18,60
243001,11,30
243004,16,40
243005,16,60
244007,16,55
244029,18,40
244039,16,30
244040,11,40
244041,18,70
244043,18,40
244046,18,40
244047,14,60
244048,16,30
244050,14,50
244052,16,60
244053,14,90
244054,12,40
244055,16,30
244056,12,30
244058,14,30
244059,16,40
244060,24,60
244061,27,60
244062,16,60
244063,18,60
244064,16,70
244065,16,60
244066,16,80
244067,16,40
244068,16,60
244069,8,70
244070,16,70
245001,18,40
245002,16,50
245003,18,40
245004,18,70
245005,18,70
245006,16,50
249006,11,50
250002,16,40
250004,16,50
251002,11,80
251003,11,40
251004,11,30
251005,14,40
251006,11,40
251007,16,40
251008,16,40
251009,16,50
251010,16,40
251011,16,50
251012,16,40
251013,11,50
253001,16,40
253002,16,80
253003,16,50
253004,16,30
253005,16,70
253006,18,60
253007,16,60
254001,16,40
254002,11,50
254003,16,40
254004,11,50
263007,18,25
263008,4,30
263009,4,40
263023,4,60
263026,24,60
331005,18,70
331016,4,60
331021,18,40
338004,4,80
375001,16,50
375002,16,50
375003,18,92
375004,18,77
375005,18,40
375006,13,75
375007,18,83
375008,16,55
375009,18,90
375010,18,81
375011,18,90
375012,16,52
375013,13,49
375014,18,95
376001,18,40
376002,16,35
376003,18,30
376004,16,45
377001,18,35
378003,16,90
379001,18,85
379002,18,67
379003,16,45
379004,16,50
380001,4,47
380002,18,66
380003,16,35
380004,16,50
380005,13,50
380006,18,90
381002,13,40
383003,2,50
383005,2,40
401021,14,58
401023,12,65
401026,15,70
401029,22,70
401035,16,65
401046,18,70
401047,12,65
401050,18,70
401051,16,65
401055,18,70
401059,12,100
401063,18,70
401064,18,70
401066,13,80
401067,18,70
401069,18,65
401070,18,70
401071,13,65
401073,12,70
401075,12,70
401076,12,90
401077,12,100
401078,12,100
401081,18,65
401083,18,70
401086,18,70
401087,12,90
401092,16,65
401095,18,70
401096,16,65
401097,12,70
401098,12,70
401100,12,65
401102,16,70
401106,13,70
401110,16,70
401121,12,90
401125,16,70
401130,16,70
401137,16,65
401140,12,90
401141,12,70
407005,23,65
407007,23,20
408002,13,70
408006,16,40
408007,13,65
408010,12,70
408011,16,100
408012,16,25
408014,13,90
408016,4,70
408017,13,70
408018,13,30
408019,13,65
408020,13,70
408021,13,30
409008,16,20
410002,23,50
411003,13,30
411005,15,10
411006,13,65
411007,23,25
411008,15,55
411011,23,10
411012,23,25
411013,23,75
412001,23,25
413001,19,12
413002,1,54
413003,23,70
413004,23,74
413005,23,66
413006,1,43
413007,19,16
413008,4,27
413009,1,66
413010,23,19
413011,23,100
413012,15,69
413013,23,68
413014,15,40
413015,23,91
413016,15,41
413017,23,64
413018,23,87
413019,23,76
413020,15,67
413021,23,70
413022,23,50
413023,23,73
413024,23,61
413025,23,33
413026,23,35
415005,23,90
418006,23,100
418007,23,100
418008,24,70
418009,23,100
418010,23,100
418011,23,90
418012,23,90
418013,4,70
418014,13,70
418020,23,90
418021,12,70
418023,23,100
418027,23,65
418028,22,100
418030,23,100
419002,23,70
421001,21,65
421007,23,100
423021,23,100
423022,23,90
423023,23,70
423028,23,100
424002,4,70
424003,23,100
424005,23,70
424006,4,70
424007,4,70
425001,23,90
425002,23,70
425003,24,70
425006,23,70
425007,23,100
425008,23,70
425009,23,70
425011,23,100
425012,23,100
425013,23,100
425014,23,100
425016,2,70
425019,4,100
425020,4,70
425022,4,70
425023,13,70
425024,4,70
425025,23,70
425027,13,70
425028,23,100
425030,4,70
425032,1,70
425033,23,70
425034,4,70
425035,23,100
425036,24,70
425037,1,70
425038,23,100
425039,23,70
425040,1,100
425041,4,70
425042,1,70
425043,4,65
425044,23,100
425046,23,70
425049,23,90
426004,22,100
426006,23,100
426008,23,100
426013,23,100
426015,23,70
434009,18,70
438002,4,100
438003,18,90
438004,18,70
438005,21,70
438006,23,100
438015,23,70
438016,23,70
438017,18,90
438018,18,100
438020,23,90
440002,22,70
440006,23,30
440007,18,100
440009,22,100
441001,23,70
441003,23,70
441004,23,70
441006,4,65
441007,4,70
441008,4,65
441009,18,70
441010,18,100
441011,18,100
441012,23,90
441014,18,70
441016,18,70
441017,23,100
441018,18,70
441019,4,70
441020,19,70
441021,18,100
441022,14,70
441023,24,70
441024,23,90
441026,23,100
441027,21,70
441028,23,100
441029,4,65
441030,4,70
441031,4,70
441033,4,70
441034,23,70
441036,18,70
441037,4,70
441038,18,70
441039,23,100
441040,2,70
441042,23,30
453004,17,100
453005,17,55
454001,23,100
455001,23,100
455002,17,55
455003,23,100
455004,23,100
455005,23,100
455006,23,63
455007,22,66
455008,22,66
455009,22,66
455010,23,100
455011,17,66
455012,17,66
455013,17,66
455014,23,100
455015,17,66
456001,23,34
456002,23,34
456003,23,34
456004,23,40
456005,23,100
456006,23,63
456007,23,63
456008,23,34
456009,23,34
